1,1,374.50,372.94,1319
1,2,365.72,365.84,1335
1,3,368.30,368.48,1327
1,4,366.63,364.16,1324
1,5,362.67,363.10,1323
1,6,371.12,373.84,1322
1,7,371.35,372.13,1322
1,8,368.20,367.72,1337
1,9,366.91,365.63,1335
1,10,366.52,365.92,1332
1,11,361.00,358.99,1340
1,12,369.48,372.63,1332
1,13,369.25,371.47,1331
1,14,369.03,368.20,1327
2,1,378.74,380.88,1341
2,2,247.45,240.06,2560
2,3,231.60,229.19,2659
2,4,234.52,232.10,2661
2,5,236.50,239.11,2670
2,6,236.27,241.41,2662
2,7,234.11,234.97,2664
2,8,227.61,223.52,2679
2,9,240.56,246.64,2668
2,10,227.61,226.80,2671
2,11,235.29,239.97,2663
2,12,222.23,221.60,2669
2,13,227.97,218.30,2662
2,14,238.76,240.18,2666
3,1,352.66,339.27,1367
3,2,232.44,239.60,2724
3,3,114.50,113.39,3965
3,4,90.87,89.99,4009
3,5,84.25,85.42,4001
3,6,102.56,102.50,3995
3,7,104.14,100.63,4000
3,8,104.97,98.66,4006
3,9,102.25,97.55,3975
3,10,103.35,109.98,4017
3,11,114.70,116.58,3987
3,12,105.79,102.33,3984
3,13,97.50,94.66,4018
3,14,116.67,124.39,4005
4,1,357.08,358.18,1411
4,2,241.89,247.15,2702
4,3,96.23,91.63,3963
4,4,4.66,4.19,4832
4,5,3.10,2.75,4938
4,6,2.98,2.68,5028
4,7,2.95,2.63,4950
4,8,3.76,3.42,5098
4,9,2.75,2.53,5024
4,10,2.50,2.29,4870
4,11,3.24,2.88,5029
4,12,3.12,2.69,4957
4,13,4.22,3.30,5044
4,14,2.88,2.60,4890
5,1,383.50,382.75,1280
5,2,248.68,260.34,2637
5,3,110.65,108.33,3993
5,4,4.08,3.66,4993
5,5,2.24,2.08,4867
5,6,2.11,1.92,5066
5,7,2.03,1.87,5063
5,8,2.01,1.83,4918
5,9,1.99,1.83,4920
5,10,2.00,1.83,4930
5,11,2.04,1.87,5060
5,12,2.02,1.85,5061
5,13,2.03,1.88,5036
5,14,2.00,1.82,4961
6,1,378.91,381.07,1342
6,2,238.59,243.39,2672
6,3,117.39,119.09,4005
6,4,6.22,5.20,5160
6,5,2.19,2.00,5072
6,6,2.00,1.83,5057
6,7,1.96,1.80,4964
6,8,1.96,1.80,4908
6,9,1.94,1.79,4930
6,10,1.95,1.78,5018
6,11,1.93,1.76,4981
6,12,1.92,1.76,4875
6,13,1.96,1.78,5007
6,14,1.94,1.78,4925
7,1,362.01,340.66,1305
7,2,224.52,212.29,2583
7,3,97.29,93.67,3988
7,4,3.83,3.45,4932
7,5,2.16,1.96,5036
7,6,1.98,1.81,4909
7,7,1.94,1.78,4984
7,8,1.95,1.79,4958
7,9,1.92,1.76,4979
7,10,1.92,1.75,4979
7,11,1.92,1.76,4961
7,12,1.95,1.77,4934
7,13,1.94,1.78,5080
7,14,1.92,1.76,4982
8,1,361.85,363.87,1365
8,2,236.40,234.81,2553
8,3,98.73,97.28,4065
8,4,5.50,4.69,5140
8,5,2.31,2.09,5079
8,6,2.04,1.86,4938
8,7,1.96,1.80,4881
8,8,1.95,1.79,5009
8,9,1.91,1.75,4957
8,10,1.94,1.78,4988
8,11,1.93,1.77,4990
8,12,1.93,1.77,5003
8,13,1.93,1.77,5115
8,14,1.92,1.77,4983
9,1,388.71,399.17,1357
9,2,219.48,214.29,2683
9,3,117.83,117.49,3917
9,4,6.56,6.35,5147
9,5,2.19,2.00,5092
9,6,2.01,1.84,4828
9,7,1.96,1.80,5055
9,8,1.94,1.78,5019
9,9,1.92,1.76,4931
9,10,1.93,1.77,4899
9,11,1.93,1.75,5089
9,12,1.94,1.77,4999
9,13,1.93,1.77,5042
9,14,1.93,1.76,5087
10,1,374.61,371.27,1329
10,2,230.20,232.86,2687
10,3,107.17,104.60,3956
10,4,4.16,3.29,5074
10,5,2.17,1.98,4932
